"Country","Year","Week_ahead","Model","Accuracy","MZE","macroMAE"
"SVN",2017,1,"rolling",0.865,0.135,1.57121212121212
"SVK",2017,1,"rolling",0.769,0.231,0.875925925925926
"TUR",2017,1,"rolling",0.588,0.412,1.2060101010101
"USA",2017,1,"rolling",0.615,0.385,0.69077380952381
"ARM",2015,2,"rolling",0.878,0.122,0.0714285714285714
"AUT",2015,2,"rolling",0.188,0.812,0.835714285714286
"BEL",2015,2,"rolling",0.83,0.17,1.65
"CHE",2015,2,"rolling",0.868,0.132,0.983333333333333
"CZE",2015,2,"rolling",0.774,0.226,1.5
"DNK",2015,2,"rolling",0.667,0.333,0.162456140350877
"EST",2015,2,"rolling",0.434,0.566,0.936270396270396
"ESP",2015,2,"rolling",0.621,0.379,1.95555555555556
"GEO",2015,2,"rolling",0.736,0.264,0.250595238095238
"GRC",2015,2,"rolling",0.412,0.588,2.38205128205128
"HRV",2015,2,"rolling",0.63,0.37,2.85
"HUN",2015,2,"rolling",0.792,0.208,0.85
"IRL",2015,2,"rolling",0.849,0.151,0.359468438538206
"ISR",2015,2,"rolling",0.83,0.17,0.352564102564103
"ITA",2015,2,"rolling",0.542,0.458,0.533333333333333
"KGZ",2015,2,"rolling",0.594,0.406,0.570526315789474
"LTU",2015,2,"rolling",0.925,0.075,0.142127659574468
"LUX",2015,2,"rolling",0.69,0.31,1.21666666666667
"LVA",2015,2,"rolling",0.69,0.31,2.1
"MAR",2015,2,"rolling",0.75,0.25,0.167857142857143
"MDA",2015,2,"rolling",0.943,0.0570000000000001,0.1
"MLT",2015,2,"rolling",0.957,0.043,0.8
"NLD",2015,2,"rolling",0.415,0.585,1.37606060606061
"NOR",2015,2,"rolling",0.483,0.517,2.03141025641026
"POL",2015,2,"rolling",0.468,0.532,0.504294871794872
"PRT",2015,2,"rolling",0.83,0.17,1.9
"ROU",2015,2,"rolling",0.896,0.104,0.375
"SRB",2015,2,"rolling",0.652,0.348,0.357619047619048
"SVN",2015,2,"rolling",0.792,0.208,0.8525
"SVK",2015,2,"rolling",0.731,0.269,1.66133333333333
"TUR",2015,2,"rolling",0.575,0.425,0.373214285714286
"USA",2015,2,"rolling",0.66,0.34,0.395098039215686
"ARM",2016,2,"rolling",0.673,0.327,2.60540540540541
"AUT",2016,2,"rolling",0.294,0.706,0.61
"BEL",2016,2,"rolling",0.865,0.135,0.619047619047619
"CHE",2016,2,"rolling",0.731,0.269,0.65
"CZE",2016,2,"rolling",0.75,0.25,0.585714285714286
"DNK",2016,2,"rolling",0.607,0.393,0.561764705882353
"EST",2016,2,"rolling",0.481,0.519,1.1562865497076
"ESP",2016,2,"rolling",0.429,0.571,0.993333333333333
