"Country","Year","Week_ahead","Model","Accuracy","MZE","macroMAE"
"CHE",2017,4,"rolling",0.788,0.212,1.60952380952381
"CHE",2015,4,"fix",0.849,0.151,1.45243902439024
"CHE",2016,4,"fix",0.75,0.25,0.7
"CHE",2017,4,"fix",0.769,0.231,1.26428571428571
"CZE",2015,1,"rolling",0.83,0.17,0.9
"CZE",2016,1,"rolling",0.865,0.135,0.14047619047619
"CZE",2017,1,"rolling",0.865,0.135,1.05238095238095
"CZE",2015,1,"fix",0.792,0.208,0.975
"CZE",2016,1,"fix",0.808,0.192,0.29047619047619
"CZE",2017,1,"fix",0.827,0.173,1.00238095238095
"CZE",2015,2,"rolling",0.792,0.208,1.675
"CZE",2016,2,"rolling",0.769,0.231,0.560714285714286
"CZE",2017,2,"rolling",0.827,0.173,1.20714285714286
"CZE",2015,2,"fix",0.792,0.208,1.475
"CZE",2016,2,"fix",0.75,0.25,0.710714285714286
"CZE",2017,2,"fix",0.808,0.192,1.35714285714286
"CZE",2015,3,"rolling",0.811,0.189,1.425
"CZE",2016,3,"rolling",0.788,0.212,0.596428571428571
"CZE",2017,3,"rolling",0.788,0.212,1.45714285714286
"CZE",2015,3,"fix",0.792,0.208,1.45
"CZE",2016,3,"fix",0.731,0.269,0.65
"CZE",2017,3,"fix",0.788,0.212,1.51190476190476
"CZE",2015,4,"rolling",0.83,0.17,2.325
"CZE",2016,4,"rolling",0.769,0.231,0.544047619047619
"CZE",2017,4,"rolling",0.75,0.25,2.21666666666667
"CZE",2015,4,"fix",0.792,0.208,2.3
"CZE",2016,4,"fix",0.769,0.231,0.494047619047619
"CZE",2017,4,"fix",0.731,0.269,2.31428571428571
"DNK",2015,1,"rolling",0.733,0.267,0.120526315789474
"DNK",2016,1,"rolling",0.786,0.214,0.297549019607843
"DNK",2017,1,"rolling",0.857,0.143,0.0719298245614035
"DNK",2015,1,"fix",0.7,0.3,0.143859649122807
"DNK",2016,1,"fix",0.786,0.214,0.247549019607843
"DNK",2017,1,"fix",0.857,0.143,0.0719298245614035
"DNK",2015,2,"rolling",0.7,0.3,0.13719298245614
"DNK",2016,2,"rolling",0.643,0.357,0.605882352941176
"DNK",2017,2,"rolling",0.821,0.179,0.13859649122807
"DNK",2015,2,"fix",0.667,0.333,0.160526315789474
"DNK",2016,2,"fix",0.607,0.393,0.605882352941176
"DNK",2017,2,"fix",0.75,0.25,0.205263157894737
"DNK",2015,3,"rolling",0.667,0.333,0.19719298245614
"DNK",2016,3,"rolling",0.607,0.393,0.570098039215686
"DNK",2017,3,"rolling",0.786,0.214,0.17719298245614
"DNK",2015,3,"fix",0.667,0.333,0.231929824561404
"DNK",2016,3,"fix",0.536,0.464,0.675980392156863
"DNK",2017,3,"fix",0.714,0.286,0.22719298245614
"DNK",2015,4,"rolling",0.667,0.333,0.231929824561404
"DNK",2016,4,"rolling",0.607,0.393,0.695098039215686
"DNK",2017,4,"rolling",0.786,0.214,0.17719298245614
"DNK",2015,4,"fix",0.7,0.3,0.226666666666667
"DNK",2016,4,"fix",0.536,0.464,0.759313725490196
"DNK",2017,4,"fix",0.714,0.286,0.204385964912281
"ESP",2015,1,"rolling",0.793,0.207,0.916666666666667
"ESP",2016,1,"rolling",0.536,0.464,0.54
"ESP",2017,1,"rolling",0.786,0.214,0.280555555555556
"ESP",2015,1,"fix",0.759,0.241,1.03888888888889
"ESP",2016,1,"fix",0.536,0.464,0.548333333333333
"ESP",2017,1,"fix",0.786,0.214,0.255555555555556
"ESP",2015,2,"rolling",0.655,0.345,1.61666666666667
"ESP",2016,2,"rolling",0.5,0.5,0.763333333333333
"ESP",2017,2,"rolling",0.679,0.321,0.580555555555555
"ESP",2015,2,"fix",0.69,0.31,1.73888888888889
"ESP",2016,2,"fix",0.5,0.5,0.763333333333333
"ESP",2017,2,"fix",0.679,0.321,0.672222222222222
"ESP",2015,3,"rolling",0.621,0.379,1.82222222222222
"ESP",2016,3,"rolling",0.5,0.5,0.963333333333333
"ESP",2017,3,"rolling",0.679,0.321,0.555555555555556
"ESP",2015,3,"fix",0.621,0.379,1.82222222222222
"ESP",2016,3,"fix",0.464,0.536,0.988333333333333
"ESP",2017,3,"fix",0.643,0.357,0.594444444444444
"ESP",2015,4,"rolling",0.69,0.31,2.20555555555556
"ESP",2016,4,"rolling",0.5,0.5,0.973333333333333
