"Country","Year","Week_ahead","Model","Accuracy","MZE","macroMAE"
"CHE",2015,4,"fix",0.849,0.151,1.45243902439024
"CHE",2016,4,"fix",0.75,0.25,0.7
"CHE",2017,4,"fix",0.769,0.231,1.16428571428571
"CZE",2015,1,"rolling",0.792,0.208,0.975
"CZE",2016,1,"rolling",0.846,0.154,0.198809523809524
"CZE",2017,1,"rolling",0.846,0.154,0.952380952380952
"CZE",2015,1,"fix",0.792,0.208,0.975
"CZE",2016,1,"fix",0.808,0.192,0.29047619047619
"CZE",2017,1,"fix",0.827,0.173,1.00238095238095
"CZE",2015,2,"rolling",0.774,0.226,1.5
"CZE",2016,2,"rolling",0.75,0.25,0.585714285714286
"CZE",2017,2,"rolling",0.827,0.173,1.00714285714286
"CZE",2015,2,"fix",0.792,0.208,1.525
"CZE",2016,2,"fix",0.75,0.25,0.485714285714286
"CZE",2017,2,"fix",0.827,0.173,1.20714285714286
"CZE",2015,3,"rolling",0.792,0.208,1.45
"CZE",2016,3,"rolling",0.788,0.212,0.596428571428571
"CZE",2017,3,"rolling",0.769,0.231,1.50952380952381
"CZE",2015,3,"fix",0.792,0.208,1.45
"CZE",2016,3,"fix",0.769,0.231,0.621428571428571
"CZE",2017,3,"fix",0.788,0.212,1.55952380952381
"CZE",2015,4,"rolling",0.811,0.189,2.275
"CZE",2016,4,"rolling",0.75,0.25,0.508333333333333
"CZE",2017,4,"rolling",0.731,0.269,2.21428571428571
"CZE",2015,4,"fix",0.811,0.189,2.275
"CZE",2016,4,"fix",0.769,0.231,0.494047619047619
"CZE",2017,4,"fix",0.731,0.269,2.26428571428571
"DNK",2015,1,"rolling",0.7,0.3,0.140526315789474
"DNK",2016,1,"rolling",0.786,0.214,0.247549019607843
"DNK",2017,1,"rolling",0.857,0.143,0.0719298245614035
"DNK",2015,1,"fix",0.7,0.3,0.143859649122807
"DNK",2016,1,"fix",0.786,0.214,0.247549019607843
"DNK",2017,1,"fix",0.857,0.143,0.0719298245614035
"DNK",2015,2,"rolling",0.667,0.333,0.162456140350877
"DNK",2016,2,"rolling",0.607,0.393,0.561764705882353
"DNK",2017,2,"rolling",0.75,0.25,0.221929824561404
"DNK",2015,2,"fix",0.667,0.333,0.160526315789474
"DNK",2016,2,"fix",0.607,0.393,0.605882352941176
"DNK",2017,2,"fix",0.714,0.286,0.23859649122807
"DNK",2015,3,"rolling",0.633,0.367,0.23719298245614
"DNK",2016,3,"rolling",0.536,0.464,0.625980392156863
"DNK",2017,3,"rolling",0.786,0.214,0.17719298245614
"DNK",2015,3,"fix",0.667,0.333,0.231929824561404
"DNK",2016,3,"fix",0.536,0.464,0.625980392156863
"DNK",2017,3,"fix",0.75,0.25,0.210526315789474
"DNK",2015,4,"rolling",0.667,0.333,0.231929824561404
"DNK",2016,4,"rolling",0.571,0.429,0.690196078431373
"DNK",2017,4,"rolling",0.714,0.286,0.215789473684211
"DNK",2015,4,"fix",0.7,0.3,0.226666666666667
"DNK",2016,4,"fix",0.571,0.429,0.690196078431373
"DNK",2017,4,"fix",0.714,0.286,0.204385964912281
"ESP",2015,1,"rolling",0.724,0.276,0.972222222222222
