"Country","Year","Week_ahead","Model","Accuracy","MZE","macroMAE"
"CZE","2015","2","hist",0.736,0.264,3.25487804878049
"DNK","2015","2","hist",0.633,0.367,0.191052631578947
"EST","2015","2","hist",0.434,0.566,1.33948717948718
"ESP","2015","2","hist",0.69,0.31,2.16666666666667
"GEO","2015","2","hist",0.566,0.434,0.28452380952381
"GRC","2015","2","hist",0.382,0.618,3.3
"HRV","2015","2","hist",0.593,0.407,3.56666666666667
"HUN","2015","2","hist",0.792,0.208,1.01666666666667
"IRL","2015","2","hist",0.83,0.17,0.485714285714286
"ISR","2015","2","hist",0.755,0.245,0.575
"ITA","2015","2","hist",0.5,0.5,1.12666666666667
"KGZ","2015","2","hist",0.594,0.406,0.605263157894737
"LTU","2015","2","hist",0.868,0.132,0.302127659574468
"LUX","2015","2","hist",0.621,0.379,1.83333333333333
"LVA","2015","2","hist",0.69,0.31,2.7
"MAR","2015","2","hist",0.788,0.212,0.193571428571429
"MDA","2015","2","hist",0.943,0.0570000000000001,0.1
"MLT","2015","2","hist",0.957,0.043,0.8
"NLD","2015","2","hist",0.491,0.509,3.38515151515152
"NOR","2015","2","hist",0.103,0.897,3.6
"POL","2015","2","hist",0.17,0.83,1.11846153846154
"PRT","2015","2","hist",0.83,0.17,2.86666666666667
"ROU","2015","2","hist",0.854,0.146,0.6
"SRB","2015","2","hist",0.478,0.522,0.401904761904762
"SVN","2015","2","hist",0.755,0.245,1.49
"SVK","2015","2","hist",0.712,0.288,1.86444444444444
"TUR","2015","2","hist",0.475,0.525,0.58125
"USA","2015","2","hist",0.585,0.415,1.77052287581699
"ARM","2016","2","hist",0.692,0.308,2.6027027027027
"AUT","2016","2","hist",0.235,0.765,1.27666666666667
"BEL","2016","2","hist",0.808,0.192,1.05238095238095
"CHE","2016","2","hist",0.731,0.269,0.677777777777778
"CZE","2016","2","hist",0.692,0.308,0.721929824561404
"DNK","2016","2","hist",0.536,0.464,0.725980392156863
"EST","2016","2","hist",0.327,0.673,2.5219298245614
"ESP","2016","2","hist",0.464,0.536,0.88
"GEO","2016","2","hist",0.587,0.413,0.075
"GRC","2016","2","hist",0.133,0.867,0.7
"HRV","2016","2","hist",0.571,0.429,0.315789473684211
"HUN","2016","2","hist",0.679,0.321,0.843333333333333
"IRL","2016","2","hist",0.731,0.269,0.535263157894737
"ISR","2016","2","hist",0.712,0.288,1.87628205128205
"ITA","2016","2","hist",0.318,0.682,0.96
"KGZ","2016","2","hist",0.24,0.76,2.60181818181818
"LTU","2016","2","hist",0.865,0.135,1
"LUX","2016","2","hist",0.607,0.393,0.73843137254902
"LVA","2016","2","hist",0.714,0.286,0.6
"MAR","2016","2","hist",0.638,0.362,0.29957264957265
"MDA","2016","2","hist",1,0,0
"MLT","2016","2","hist",0.778,0.222,0.304545454545455
"NLD","2016","2","hist",0.442,0.558,2.46344696969697
"NOR","2016","2","hist",0.107,0.893,2.1
"POL","2016","2","hist",0.261,0.739,1.46712121212121
"PRT","2016","2","hist",0.692,0.308,1.54166666666667
"ROU","2016","2","hist",0.885,0.115,0.1
"SRB","2016","2","hist",0.5,0.5,0.957142857142857
"SVN","2016","2","hist",0.75,0.25,0.628260869565217
"SVK","2016","2","hist",0.732,0.268,0.224436090225564
"TUR","2016","2","hist",0.467,0.533,0.535714285714286
"USA","2016","2","hist",0.462,0.538,0.849134615384615
"ARM","2017","2","hist",0.75,0.25,0.6
"AUT","2017","2","hist",0.227,0.773,2.15416666666667
"BEL","2017","2","hist",0.629,0.371,1.55
"CHE","2017","2","hist",0.692,0.308,1.88809523809524
"CZE","2017","2","hist",0.712,0.288,2.96666666666667
"DNK","2017","2","hist",0.571,0.429,0.198245614035088
"EST","2017","2","hist",0.288,0.712,1.34843137254902
"ESP","2017","2","hist",0.429,0.571,2.06666666666667
"GEO","2017","2","hist",0.478,0.522,0.0533333333333333
"GRC","2017","2","hist",0.385,0.615,2.775
"HRV","2017","2","hist",0.5,0.5,2.33888888888889
"HUN","2017","2","hist",0.571,0.429,3.24210526315789
"IRL","2017","2","hist",0.769,0.231,0.813333333333333
"ISR","2017","2","hist",0.731,0.269,0.865714285714286
"ITA","2017","2","hist",0.13,0.87,2.235
"KGZ","2017","2","hist",0.667,0.333,0.08
"LTU","2017","2","hist",0.886,0.114,0.9
"LUX","2017","2","hist",0.607,0.393,0.633333333333333
"LVA","2017","2","hist",0.607,0.393,1.67254901960784
"MAR","2017","2","hist",0.577,0.423,0.524313725490196
"MDA","2017","2","hist",1,0,0
"MLT","2017","2","hist",0.607,0.393,0.610526315789474
"NLD","2017","2","hist",0.269,0.731,1.93269230769231
"NOR","2017","2","hist",0.321,0.679,3.65714285714286
"POL","2017","2","hist",0.365,0.635,2.4728354978355
"PRT","2017","2","hist",0.769,0.231,0.728260869565217
"ROU","2017","2","hist",1,0,0
"SRB","2017","2","hist",0.318,0.682,2.01857142857143
"SVN","2017","2","hist",0.712,0.288,3.12727272727273
