"Country","Year","Week_ahead","Model","Accuracy","MZE","macroMAE"
"LVA",2016,1,"fix",0.821,0.179,0.325
"MAR",2016,1,"fix",0.872,0.128,0.131025641025641
"MDA",2016,1,"fix",1,0,0
"MLT",2016,1,"fix",0.815,0.185,0.179545454545455
"NLD",2016,1,"fix",0.558,0.442,0.956628787878788
"NOR",2016,1,"fix",0.286,0.714,1.05142857142857
"POL",2016,1,"fix",0.674,0.326,0.382878787878788
"PRT",2016,1,"fix",0.75,0.25,1.14166666666667
"ROU",2016,1,"fix",0.846,0.154,0.106521739130435
"SRB",2016,1,"fix",0.688,0.312,0.92
"SVN",2016,1,"fix",0.865,0.135,0.552173913043478
"SVK",2016,1,"fix",0.829,0.171,0.205263157894737
"TUR",2016,1,"fix",0.333,0.667,0.357142857142857
"USA",2016,1,"fix",0.577,0.423,0.615192307692308
"ARM",2017,1,"fix",0.712,0.288,0.563247863247863
"AUT",2017,1,"fix",0.5,0.5,1.00833333333333
"BEL",2017,1,"fix",0.829,0.171,0.557142857142857
"CHE",2017,1,"fix",0.865,0.135,0.502380952380952
"CZE",2017,1,"fix",0.827,0.173,0.852380952380952
"DNK",2017,1,"fix",0.857,0.143,0.0719298245614035
"EST",2017,1,"fix",0.558,0.442,0.520868347338936
"ESP",2017,1,"fix",0.75,0.25,0.330555555555556
"GEO",2017,1,"fix",0.913,0.087,0.00888888888888889
"GRC",2017,1,"fix",0.692,0.308,0.611666666666667
"HRV",2017,1,"fix",0.692,0.308,1.27222222222222
"HUN",2017,1,"fix",0.643,0.357,1.55526315789474
"IRL",2017,1,"fix",0.846,0.154,0.288888888888889
