"Country","Year","Week_ahead","Model","Accuracy","MZE","macroMAE"
"GRC",2015,2,"rolling",0.382,0.618,2.45769230769231
"HRV",2015,2,"rolling",0.63,0.37,1.75
"HUN",2015,2,"rolling",0.792,0.208,0.85
"IRL",2015,2,"rolling",0.887,0.113,0.342857142857143
"ISR",2015,2,"rolling",0.811,0.189,0.452564102564103
"ITA",2015,2,"rolling",0.583,0.417,0.5
"KGZ",2015,2,"rolling",0.531,0.469,0.581052631578947
"LTU",2015,2,"rolling",0.906,0.094,0.146382978723404
"LUX",2015,2,"rolling",0.655,0.345,1.26666666666667
"LVA",2015,2,"rolling",0.724,0.276,2.175
"MAR",2015,2,"rolling",0.769,0.231,0.202857142857143
"MDA",2015,2,"rolling",0.962,0.038,0.0666666666666667
"MLT",2015,2,"rolling",0.957,0.043,0.8
"NLD",2015,2,"rolling",0.472,0.528,1.45363636363636
"NOR",2015,2,"rolling",0.448,0.552,2.7974358974359
"POL",2015,2,"rolling",0.489,0.511,0.480512820512821
"PRT",2015,2,"rolling",0.811,0.189,1.8093023255814
"ROU",2015,2,"rolling",0.854,0.146,0.379878048780488
"SRB",2015,2,"rolling",0.565,0.435,0.296190476190476
"SVN",2015,2,"rolling",0.83,0.17,0.76
"SVK",2015,2,"rolling",0.692,0.308,1.644
"TUR",2015,2,"rolling",0.5,0.5,0.422916666666667
"USA",2015,2,"rolling",0.66,0.34,0.408986928104575
"ARM",2016,2,"rolling",0.654,0.346,2.52477477477477
"AUT",2016,2,"rolling",0.294,0.706,0.71
"BEL",2016,2,"rolling",0.865,0.135,0.619047619047619
"CHE",2016,2,"rolling",0.769,0.231,0.55
"CZE",2016,2,"rolling",0.769,0.231,0.360714285714286
"DNK",2016,2,"rolling",0.679,0.321,0.622549019607843
"EST",2016,2,"rolling",0.481,0.519,1.20906432748538
"ESP",2016,2,"rolling",0.464,0.536,0.718333333333333
"GEO",2016,2,"rolling",0.652,0.348,0.065
"GRC",2016,2,"rolling",0.733,0.267,0.3
"HRV",2016,2,"rolling",0.714,0.286,0.23859649122807
"HUN",2016,2,"rolling",0.714,0.286,0.405
"IRL",2016,2,"rolling",0.769,0.231,0.36
"ISR",2016,2,"rolling",0.846,0.154,0.575
"ITA",2016,2,"rolling",0.409,0.591,0.615
"KGZ",2016,2,"rolling",0.36,0.64,1.83030303030303
"LTU",2016,2,"rolling",0.885,0.115,0.45
"LUX",2016,2,"rolling",0.607,0.393,0.795882352941176
"LVA",2016,2,"rolling",0.786,0.214,0.446666666666667
"MAR",2016,2,"rolling",0.809,0.191,0.150940170940171
"MDA",2016,2,"rolling",1,0,0
"MLT",2016,2,"rolling",0.815,0.185,0.3
"NLD",2016,2,"rolling",0.5,0.5,1.02878787878788
"NOR",2016,2,"rolling",0.5,0.5,0.694285714285714
"POL",2016,2,"rolling",0.609,0.391,0.541161616161616
"PRT",2016,2,"rolling",0.75,0.25,0.983333333333333
"ROU",2016,2,"rolling",0.865,0.135,0.104347826086957
"SRB",2016,2,"rolling",0.5,0.5,0.718571428571429
"SVN",2016,2,"rolling",0.865,0.135,0.352173913043478
"SVK",2016,2,"rolling",0.829,0.171,0.167669172932331
"TUR",2016,2,"rolling",0.2,0.8,0.385714285714286
"USA",2016,2,"rolling",0.654,0.346,0.806153846153846
"ARM",2017,2,"rolling",0.75,0.25,0.64957264957265
"AUT",2017,2,"rolling",0.5,0.5,1.30833333333333
"BEL",2017,2,"rolling",0.771,0.229,1.11428571428571
"CHE",2017,2,"rolling",0.808,0.192,1.05238095238095
"CZE",2017,2,"rolling",0.808,0.192,1.20714285714286
"DNK",2017,2,"rolling",0.75,0.25,0.18859649122807
"EST",2017,2,"rolling",0.538,0.462,0.794677871148459
"ESP",2017,2,"rolling",0.714,0.286,0.505555555555556
