"nWeek_ahead","year2018","year2019","year2020","year2021"
"1-week",0.719098039215686,0.662078431372549,0.675196078431373,0.713078431372549
"2-week",0.679470588235294,0.607411764705882,0.605294117647059,0.617254901960784
"3-week",0.655725490196078,0.562627450980392,0.562,0.556509803921569
"4-week",0.633901960784314,0.532352941176471,0.521607843137255,0.503039215686275
